 address_id |                address                 | address2 |       district       | city_id | postal_code |    phone     |        last_update         
------------+----------------------------------------+----------+----------------------+---------+-------------+--------------+----------------------------
          1 | 47 MySakila Drive                      |          | Alberta              |     300 |             |              | 2006-02-15 09:45:30
          2 | 28 MySQL Boulevard                     |          | QLD                  |     576 |             |              | 2006-02-15 09:45:30
          3 | 23 Workhaven Lane                      |          | Alberta              |     300 |             | 14033335568  | 2006-02-15 09:45:30
          5 | 1913 Hanoi Way                         |          | Nagasaki             |     463 | 35200       | 28303384290  | 2006-02-15 09:45:30
          6 | 1121 Loja Avenue                       |          | California           |     449 | 17886       | 838635286649 | 2006-02-15 09:45:30
          7 | 692 Joliet Street                      |          | Attika               |      38 | 83579       | 448477190408 | 2006-02-15 09:45:30
          8 | 1566 Inegl Manor                       |          | Mandalay             |     349 | 53561       | 705814003527 | 2006-02-15 09:45:30
          9 | 53 Idfu Parkway                        |          | Nantou               |     361 | 42399       | 10655648674  | 2006-02-15 09:45:30
         10 | 1795 Santiago de Compostela Way        |          | Texas                |     295 | 18743       | 860452626434 | 2006-02-15 09:45:30
         11 | 900 Santiago de Compostela Parkway     |          | Central Serbia       |     280 | 93896       | 716571220373 | 2006-02-15 09:45:30
         12 | 478 Joliet Way                         |          | Hamilton             |     200 | 77948       | 657282285970 | 2006-02-15 09:45:30
         13 | 613 Korolev Drive                      |          | Masqat               |     329 | 45844       | 380657522649 | 2006-02-15 09:45:30
         14 | 1531 Sal Drive                         |          | Esfahan              |     162 | 53628       | 648856936185 | 2006-02-15 09:45:30
         15 | 1542 Tarlac Parkway                    |          | Kanagawa             |     440 | 1027        | 635297277345 | 2006-02-15 09:45:30
         16 | 808 Bhopal Manor                       |          | Haryana              |     582 | 10672       | 465887807014 | 2006-02-15 09:45:30
         17 | 270 Amroha Parkway                     |          | Osmaniye             |     384 | 29610       | 695479687538 | 2006-02-15 09:45:30
         18 | 770 Bydgoszcz Avenue                   |          | California           |     120 | 16266       | 517338314235 | 2006-02-15 09:45:30
         19 | 419 Iligan Lane                        |          | Madhya Pradesh       |      76 | 72878       | 990911107354 | 2006-02-15 09:45:30
         20 | 360 Toulouse Parkway                   |          | England              |     495 | 54308       | 949312333307 | 2006-02-15 09:45:30
         21 | 270 Toulon Boulevard                   |          | Kalmykia             |     156 | 81766       | 407752414682 | 2006-02-15 09:45:30
         22 | 320 Brest Avenue                       |          | Kaduna               |     252 | 43331       | 747791594069 | 2006-02-15 09:45:30
         23 | 1417 Lancaster Avenue                  |          | Northern Cape        |     267 | 72192       | 272572357893 | 2006-02-15 09:45:30
         24 | 1688 Okara Way                         |          | Nothwest Border Prov |     327 | 21954       | 144453869132 | 2006-02-15 09:45:30
         25 | 262 A Corua (La Corua) Parkway         |          | Dhaka                |     525 | 34418       | 892775750063 | 2006-02-15 09:45:30
         26 | 28 Charlotte Amalie Street             |          | Rabat-Sal-Zammour-Z  |     443 | 37551       | 161968374323 | 2006-02-15 09:45:30
         27 | 1780 Hino Boulevard                    |          | Liepaja              |     303 | 7716        | 902731229323 | 2006-02-15 09:45:30
         28 | 96 Tafuna Way                          |          | Crdoba               |     128 | 99865       | 934730187245 | 2006-02-15 09:45:30
         29 | 934 San Felipe de Puerto Plata Street  |          | Sind                 |     472 | 99780       | 196495945706 | 2006-02-15 09:45:30
         30 | 18 Duisburg Boulevard                  |          |                      |     121 | 58327       | 998009777982 | 2006-02-15 09:45:30
         31 | 217 Botshabelo Place                   |          | Southern Mindanao    |     138 | 49521       | 665356572025 | 2006-02-15 09:45:30
         32 | 1425 Shikarpur Manor                   |          | Bihar                |     346 | 65599       | 678220867005 | 2006-02-15 09:45:30
         33 | 786 Aurora Avenue                      |          | Yamaguchi            |     474 | 65750       | 18461860151  | 2006-02-15 09:45:30
         34 | 1668 Anpolis Street                    |          | Taipei               |     316 | 50199       | 525255540978 | 2006-02-15 09:45:30
         35 | 33 Gorontalo Way                       |          | West Bengali         |     257 | 30348       | 745994947458 | 2006-02-15 09:45:30
         36 | 176 Mandaluyong Place                  |          | Uttar Pradesh        |     239 | 65213       | 627705991774 | 2006-02-15 09:45:30
         37 | 127 Purnea (Purnia) Manor              |          | Piemonte             |      17 | 79388       | 911872220378 | 2006-02-15 09:45:30
         38 | 61 Tama Street                         |          | Okayama              |     284 | 94065       | 708403338270 | 2006-02-15 09:45:30
         39 | 391 Callao Drive                       |          | Midi-Pyrnes          |     544 | 34021       | 440512153169 | 2006-02-15 09:45:30
         40 | 334 Munger (Monghyr) Lane              |          | Markazi              |      31 | 38145       | 481183273622 | 2006-02-15 09:45:30
         41 | 1440 Fukuyama Loop                     |          | Henan                |     362 | 47929       | 912257250465 | 2006-02-15 09:45:30
         42 | 269 Cam Ranh Parkway                   |          | Chisinau             |     115 | 34689       | 489783829737 | 2006-02-15 09:45:30
